time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
39.509,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,-1.662,-0.870,-0.113,-0.09,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15540,-1131,-2097,899,-594,-6796,1,12.9863458,77.4776398,848.50,0.500,0.00,0.00,1.21,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.001,-0.000,-0.000,-0.000,0,0
40.510,-0.409,-0.126,1.670,-2.234,0.268,-0.072,-2.222,1.632,-1.317,-97.67,-0.017257,-0.010624,-0.024512,0.005622,-0.021833,0.000888,13767,-982,-2784,720,-418,-6174,1,12.9863430,77.4776402,851.30,0.500,0.00,0.00,1.20,0.039,-0.282,2.548,-0.449,0.156,0.475,1,1,1,0,0,0,0.000,1.00,1.14,0.00,0.000,-0.588,-0.056,1.035,0,0
41.510,-0.852,-0.287,3.448,-1.921,0.357,0.616,-0.362,-0.004,0.191,-171.39,-0.061486,-0.066194,-0.041372,0.051574,-0.100000,0.019303,15669,184,-2009,318,-367,-3735,1,12.9863372,77.4776232,852.80,0.500,0.00,0.00,0.87,-0.692,-0.582,3.541,-0.160,0.295,0.336,1,1,1,0,0,0,0.000,1.00,0.25,0.00,0.099,-0.852,-0.287,3.448,0,0
42.511,-2.542,-1.156,4.584,-2.379,-0.725,0.955,-1.101,-1.073,0.491,156.24,-0.045608,-0.065359,-0.039698,0.098205,-0.091444,0.032748,16491,283,-685,337,-369,-1312,1,12.9863372,77.4776232,852.80,0.500,0.00,0.00,0.87,-1.936,-0.997,4.396,-0.606,-0.159,0.627,1,1,1,0,0,0,0.000,1.00,0.39,0.00,0.097,-2.542,-1.156,4.584,0,0
43.512,-1.881,-3.021,11.762,0.048,-0.030,-0.003,0.911,-0.653,0.024,154.55,0.036292,-0.130285,0.241980,0.006777,0.018264,-0.018119,16067,544,-459,4,12,-80,1,12.9863203,77.4776225,859.40,0.000,0.00,0.00,0.76,-1.876,-3.050,11.713,-0.005,0.030,0.030,1,1,1,0,0,0,0.000,1.00,0.02,0.00,0.098,-1.881,-3.021,11.762,0,0
44.514,-3.272,-2.961,13.479,1.386,-0.837,-0.213,1.779,-0.965,-0.156,-167.21,-0.030603,-0.155045,0.235719,0.014392,0.017179,-0.013923,15741,420,-2608,-241,391,-130,1,12.9863202,77.4776093,861.70,0.000,0.00,0.00,0.69,-3.539,-2.822,13.524,0.266,-0.139,0.300,1,1,1,0,0,0,0.000,1.00,0.11,0.00,0.098,-3.272,-2.961,13.479,0,0
45.515,-4.219,-4.137,16.567,2.395,-2.291,-0.419,1.045,-2.036,-0.886,-118.71,-0.073982,-0.172197,0.212240,0.014392,0.017175,-0.013922,14879,482,-109,96,14,-40,1,12.9863120,77.4775970,864.90,0.000,0.00,0.00,0.69,-4.801,-3.850,16.780,0.582,-0.286,0.648,1,1,1,0,0,0,0.000,1.00,0.76,0.00,0.098,-4.219,-4.137,16.567,0,0
46.517,-6.205,-4.091,18.377,3.340,-3.703,-0.583,1.671,-1.706,0.164,-72.09,-0.110213,-0.130258,0.199695,0.014379,0.017163,-0.013923,16491,916,-1347,-296,10,-73,1,12.9863160,77.4775693,867.40,0.000,0.00,0.00,0.66,-7.388,-3.344,18.697,1.183,-0.747,1.399,1,1,1,0,0,0,0.000,1.00,5.01,0.00,0.098,-6.205,-4.091,18.377,0,0
47.517,-7.955,-3.721,19.359,3.806,-4.188,-0.617,0.844,-1.012,-0.054,-26.19,-0.013283,-0.096454,0.213238,0.014344,0.017152,-0.013925,15678,445,-2532,-422,15,-101,1,12.9863278,77.4775340,869.00,0.000,0.00,0.00,0.66,-9.274,-2.760,19.613,1.319,-0.961,1.632,1,1,1,0,0,0,0.000,1.00,6.80,0.00,0.091,-7.955,-3.721,19.359,0,0
48.517,-11.265,-2.509,20.578,3.270,-3.692,-0.363,1.750,-0.862,-1.122,17.14,0.231937,-0.122634,0.248087,0.014285,0.017152,-0.013931,14431,159,-35,112,-405,68,1,12.9863278,77.4775340,869.00,0.000,0.00,0.00,0.66,-11.749,-1.898,20.608,0.484,-0.610,0.779,1,1,1,0,0,0,0.000,1.00,0.60,0.00,0.090,-11.265,-2.509,20.578,0,0
