time_s,ekf_lat,ekf_lon,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
143.060, 12.994689800,77.479410500, 0.000,0.000,0.0, 0.524,0.060,0.0,0.00,0.000000,0.0,0.0,0.0,0.0,-0.000000,15730,54,1304,-77,25,139,1,12.9946898,77.4794105,494.20,0.500,0.00,0.00,3.48,0.000,0.000,0.0,-0.000,-0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,0.000,0.000,0.0,1,0
144.060, 12.994689805,77.479410831, 0.166,0.002,0.0, 1.277,-0.625,0.0,-0.03,0.015464,0.0,0.0,0.0,0.0,0.000579,14930,-581,4233,560,265,-354,1,12.9946898,77.4794105,494.20,0.500,0.00,0.00,3.48,0.000,0.000,0.0,0.036,0.001,0.036,1,1,1,0,0,0,0.000,2.00,0.00,0.00,0.000,0.036,0.001,0.0,0,0
145.062, 12.994689628,77.479418592, 1.544,-0.064,0.0, 0.850,0.110,0.0,-5.50,0.015464,0.0,0.0,0.0,0.0,0.001483,14581,1708,3996,-288,75,-214,1,12.9943922,77.4788120,627.70,0.500,0.00,0.00,3.48,-64.936,-32.927,0.0,65.814,32.908,73.583,1,1,0,0,0,0,0.000,2.00,0.00,0.00,0.100,0.878,-0.019,0.0,0,0
146.063, 12.994688514,77.479439035, 2.921,-0.173,0.0, 1.326,0.234,0.0,-3.35,0.015464,0.0,0.0,0.0,0.0,0.001404,14842,552,4096,362,-442,-1,1,12.9941323,77.4783518,732.00,0.000,0.00,0.00,3.48,-114.869,-61.683,0.0,117.965,61.541,133.052,1,1,0,0,0,0,2.903,5.00,0.00,0.00,0.099,3.096,-0.142,0.0,0,0
147.063, 12.994686614,77.479471988, 4.200,-0.244,0.0, 1.337,0.836,0.0,-2.94,0.015464,0.0,0.0,0.0,0.0,0.001195,16395,514,3933,-267,208,40,1,12.9939768,77.4781320,772.10,0.000,0.00,0.00,3.48,-138.718,-78.889,0.0,145.389,78.536,165.245,1,1,0,0,0,0,3.904,5.00,0.00,0.00,0.099,6.671,-0.353,0.0,0,0
148.065, 12.994684092,77.479516380, 5.398,-0.318,0.0, 0.895,0.752,0.0,-4.13,0.015464,0.0,0.0,0.0,0.0,0.000927,15244,801,4996,-92,188,38,1,12.9938603,77.4779878,794.80,0.000,0.00,0.00,3.48,-154.364,-91.779,0.0,165.852,91.147,189.248,1,1,0,0,0,0,4.905,5.00,0.00,0.00,0.099,11.487,-0.632,0.0,0,0
149.066, 12.994680876,77.479571212, 6.260,-0.376,0.0, 0.464,-0.177,0.0,-3.09,0.015464,0.0,0.0,0.0,0.0,0.000827,15012,2705,3468,-235,496,185,1,12.9937772,77.4779433,795.70,0.000,0.00,0.00,3.48,-159.193,-100.974,0.0,176.629,99.986,202.966,1,1,0,0,0,0,5.906,5.00,0.00,0.00,0.098,17.437,-0.987,0.0,0,0
150.066, 12.994677466,77.479629388, 6.391,-0.379,0.0, 0.103,0.512,0.0,-2.20,0.015464,0.0,0.0,0.0,0.0,0.000708,14594,1434,3056,-183,-437,31,1,12.9936905,77.4778912,797.90,0.000,0.00,0.00,3.48,-164.846,-110.566,0.0,188.594,109.202,217.928,1,1,0,0,0,0,6.907,5.00,0.00,0.00,0.098,23.748,-1.365,0.0,0,0
151.067, 12.994674005,77.479689348, 6.702,-0.389,0.0, 0.673,0.461,0.0,-1.70,0.015464,0.0,0.0,0.0,0.0,0.000756,13846,875,3994,-870,108,87,1,12.9936905,77.4778912,797.90,0.000,0.00,0.00,3.48,-164.846,-110.566,0.0,195.099,108.819,223.395,1,1,0,0,0,0,7.907,5.00,0.00,0.00,0.096,30.254,-1.748,0.0,0,0
152.067, 12.994670464,77.479752350, 6.856,-0.392,0.0, 0.478,1.779,0.0,-0.53,0.015464,0.0,0.0,0.0,0.0,0.000183,14681,-4135,253,-528,363,262,1,12.9936040,77.4778462,799.00,0.000,0.00,0.00,3.48,-169.728,-120.137,0.0,206.817,117.998,238.111,1,1,0,0,0,0,8.907,5.00,0.00,0.00,0.088,37.089,-2.139,0.0,0,0
