time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
140.165,0.000,-0.000,0.000,0.000,-0.001,0.000,0.325,-0.710,0.110,0.01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16036,942,-311,174,109,419,1,12.9872475,77.4780662,188.10,0.500,0.00,0.00,1.83,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.001,0.000,-0.000,0.000,0,0
141.165,-0.029,-0.285,2.602,0.071,-0.373,1.011,0.933,-0.437,-0.556,8.79,0.006246,0.000701,-0.052581,-0.002602,0.002073,-0.000274,14862,1304,441,-113,47,522,1,12.9872022,77.4780585,227.30,0.500,0.00,0.00,1.91,-0.835,-5.012,39.200,0.806,4.727,4.795,1,1,1,0,0,0,0.000,1.00,287.44,0.00,0.001,-0.014,-0.212,1.885,0,0
142.166,-0.498,-3.241,18.559,-0.307,-2.829,7.761,0.083,-1.735,0.026,25.04,0.066385,-0.003003,-0.574272,-0.031377,0.032843,-0.003681,15112,880,-635,-76,-230,429,1,12.9871672,77.4780728,256.50,0.500,0.00,0.00,1.91,0.716,-8.884,68.400,-1.214,5.643,5.772,1,1,1,0,0,0,0.000,1.00,455.99,0.00,0.099,-0.498,-3.241,18.559,0,0
143.167,0.558,-8.433,58.359,0.676,-4.061,21.376,0.219,-0.665,2.202,39.00,0.177547,-0.056286,-1.976052,0.011844,0.003787,0.000254,16061,1354,-1361,-390,-55,370,1,12.9871672,77.4780728,256.50,0.500,0.00,0.00,1.91,0.716,-8.884,68.400,-0.158,0.451,0.478,1,1,1,0,0,0,0.000,1.00,39.42,0.00,0.097,0.558,-8.433,58.359,0,0
144.168,2.299,-7.331,51.315,-0.001,-0.002,-0.018,-0.063,-0.573,-2.296,25.34,-0.633406,0.261084,1.890133,-0.006050,0.032577,0.019285,14987,-413,-3187,-168,39,135,1,12.9871438,77.4781100,262.50,0.500,0.00,0.00,1.91,5.146,-11.726,74.986,-2.847,4.395,5.236,1,1,1,0,0,0,0.000,1.00,136.52,0.00,0.088,2.299,-7.331,51.315,0,0
145.168,2.696,-7.906,56.219,0.003,0.004,-0.010,1.068,0.558,-2.262,14.69,-0.566341,0.354194,1.855099,0.016106,0.013314,0.012010,15328,719,-373,191,-84,86,1,12.9870902,77.4781538,282.50,0.500,0.00,0.00,1.91,9.504,-17.403,94.400,-6.808,9.497,11.685,1,1,1,0,0,0,0.000,1.00,354.79,0.00,0.086,2.696,-7.906,56.219,0,0
146.170,3.350,-8.596,60.619,0.022,0.012,-0.088,0.371,0.853,-2.377,3.17,-0.539162,0.392646,1.812458,0.008503,0.005891,0.011006,14863,1627,-1361,-450,-15,-110,1,12.9870548,77.4782195,284.80,0.000,0.00,0.00,1.91,16.632,-21.319,96.700,-13.283,12.723,18.393,1,1,1,0,0,0,0.000,1.00,369.24,0.00,0.085,3.350,-8.596,60.619,0,0
147.171,3.674,-8.912,62.407,0.002,0.001,-0.014,0.429,-0.054,-1.277,-1.42,-0.527788,0.414109,1.771953,-0.010742,0.026445,0.010304,16702,284,-1248,236,54,132,1,12.9869772,77.4782897,322.30,0.000,0.00,0.00,1.91,24.249,-29.905,134.200,-20.575,20.992,29.394,1,1,1,0,0,0,0.000,1.00,1565.91,0.00,0.085,3.674,-8.912,62.407,0,0
148.171,3.666,-8.913,62.489,-0.000,0.000,-0.000,-0.247,0.399,-1.236,-7.09,-0.510533,0.435719,1.676263,-0.014523,0.020514,0.007597,16440,1042,-2412,-84,163,12,1,12.9869098,77.4783595,342.70,0.000,0.00,0.00,1.91,31.822,-37.362,154.600,-28.156,28.449,40.026,1,1,0,0,0,0,0.000,1.00,2211.54,0.00,0.085,3.666,-8.913,62.489,1,1
149.173,3.665,-8.913,62.525,-0.008,0.002,-0.168,-0.343,-0.014,-2.695,-6.89,-0.499648,0.447275,1.623170,-0.001715,0.020612,0.022033,13878,421,-2536,-41,311,-6,1,12.9868280,77.4784202,374.60,0.000,0.00,0.00,1.91,38.408,-46.412,186.500,-34.743,37.499,51.120,1,1,0,0,0,0,2.687,2.00,3935.72,0.00,0.085,3.665,-8.913,62.525,0,0
150.173,3.678,-8.908,62.711,-0.010,-0.006,-0.089,-0.453,-0.085,-1.226,-1.57,-0.446600,0.458794,1.439433,-0.008734,0.016278,0.056374,15891,856,-3313,-293,63,179,1,12.9867168,77.4784975,426.80,0.000,0.00,0.00,1.91,46.795,-58.715,238.700,-43.117,49.808,65.878,1,1,0,0,0,0,3.687,2.00,7706.59,0.00,0.084,3.678,-8.908,62.711,0,0
151.174,3.682,-8.908,62.697,-0.012,-0.039,-0.535,0.120,-0.345,-1.198,1.22,-0.427417,0.452446,1.353750,-0.015553,0.024963,0.065626,15938,594,-2586,-18,106,464,1,12.9867168,77.4784975,426.80,0.000,0.00,0.00,1.91,46.795,-58.715,238.700,-43.113,49.808,65.875,1,1,0,0,0,0,4.688,2.00,7697.11,0.00,0.081,3.682,-8.908,62.697,0,0
152.174,4.172,-9.413,67.141,-0.004,-0.034,-0.077,-0.092,-0.106,-0.620,5.28,-0.429318,0.378525,1.071194,-0.033943,0.042848,0.077253,16253,1775,-2962,-14,242,446,1,12.9866177,77.4785595,462.20,0.000,0.00,0.00,1.91,53.522,-69.680,274.099,-49.351,60.267,77.895,1,1,1,0,1,0,0.000,1.00,134.38,0.00,0.080,4.172,-9.413,67.141,0,0
153.175,4.235,-9.465,67.816,0.010,-0.189,-0.254,0.282,-0.765,-0.462,7.43,-0.468419,0.338389,0.984499,-0.037085,0.044668,0.080654,16589,1204,-2524,388,26,573,1,12.9864340,77.4786817,524.60,0.000,0.00,0.00,1.92,66.781,-90.005,336.499,-62.546,80.540,101.974,1,1,1,0,1,0,0.000,1.00,17870.37,0.00,0.079,4.235,-9.465,67.816,0,0
154.176,4.220,-9.372,68.014,-0.024,-0.164,-0.132,-0.376,-1.186,-1.165,5.86,-0.616177,0.290433,0.884097,-0.039620,0.017006,0.075195,15091,1030,-4000,-104,208,325,1,12.9869308,77.4787107,190.30,0.000,0.00,0.00,1.83,69.924,-35.038,2.200,-65.705,25.666,70.540,1,1,0,0,0,0,0.000,1.00,2288.95,0.00,0.078,4.220,-9.372,68.014,0,0
155.177,4.231,-9.313,68.064,-0.000,-0.000,-0.000,-0.424,-1.413,-1.240,9.51,-0.605481,0.292005,0.874762,0.003674,0.038724,0.054218,15041,694,-3988,66,-53,242,1,12.9868977,77.4787720,197.40,0.000,0.00,0.00,1.92,76.575,-38.700,9.299,-72.344,29.387,78.085,1,1,0,0,0,0,2.982,2.00,2193.30,0.00,0.076,4.231,-9.313,68.064,1,1
156.177,4.232,-9.309,68.067,-0.007,-0.015,-0.011,-0.915,-1.202,-0.808,9.41,-0.609000,0.292211,0.873348,0.006656,0.013664,0.053473,15479,1241,-4926,-25,-144,182,1,12.9868810,77.4788340,197.30,0.000,0.00,0.00,1.83,81.283,-39.993,9.229,-77.050,30.684,82.935,1,1,0,0,0,0,3.983,2.00,2583.09,0.00,0.076,4.232,-9.309,68.067,0,0
157.177,4.233,-9.307,68.069,-0.000,-0.000,-0.000,-0.819,-1.568,-0.602,9.36,-0.611220,0.292461,0.872487,-0.003682,0.028909,0.032667,15978,632,-4913,-117,-65,27,1,12.9868575,77.4788898,203.40,0.000,0.00,0.00,1.92,89.356,-43.147,15.299,-85.123,33.840,91.603,1,1,0,0,0,0,4.983,2.00,2598.55,0.00,0.074,4.233,-9.307,68.069,1,1
158.177,4.579,-9.441,67.645,-0.011,-0.035,-0.021,-0.517,-1.786,-0.732,9.41,-0.614836,0.292646,0.870898,0.023633,0.006321,0.031928,15928,247,-4488,346,115,223,1,12.9868575,77.4788898,203.40,0.000,0.00,0.00,1.92,89.356,-43.147,15.299,-84.776,33.706,91.231,1,1,1,0,1,0,0.000,1.00,2572.82,0.00,0.073,4.579,-9.441,67.645,0,0
159.178,4.580,-9.429,67.653,0.002,-0.009,-0.005,0.547,-1.305,-0.553,9.45,-0.622052,0.290303,0.868382,0.017352,0.016521,0.017600,16417,955,-2574,14,-551,158,1,12.9868448,77.4789382,203.80,0.000,0.00,0.00,1.84,95.252,-44.725,15.748,-90.672,35.296,97.300,1,1,0,0,0,0,0.000,1.00,3050.68,0.00,0.064,4.580,-9.429,67.653,0,0
160.180,4.572,-9.397,67.683,0.000,-0.000,-0.000,0.813,-1.654,-1.241,10.65,-0.636410,0.275759,0.863025,0.014145,0.030789,0.013671,15429,507,-2598,-86,-12,8,1,12.9868340,77.4789865,202.80,0.000,0.00,0.00,1.84,100.580,-45.913,14.550,-96.008,36.516,102.718,1,1,0,0,0,0,2.274,2.00,3757.56,0.00,0.063,4.572,-9.397,67.683,1,1
161.181,4.572,-9.397,67.683,0.000,-0.000,-0.000,0.508,-1.765,-1.317,10.66,-0.637384,0.274634,0.862900,0.016612,0.030542,0.010927,15231,371,-3101,-27,6,-34,1,12.9868253,77.4789978,207.50,0.000,0.00,0.00,1.92,101.232,-46.852,20.136,-96.660,37.455,103.664,1,1,0,0,0,0,3.275,2.00,3370.70,0.00,0.061,4.572,-9.397,67.683,1,1
162.182,4.572,-9.396,67.684,0.000,-0.000,-0.000,0.828,-1.595,-1.253,10.76,-0.638367,0.273631,0.862802,0.020222,0.028773,0.010435,15391,607,-2561,43,65,19,1,12.9868182,77.4790075,210.40,0.000,0.00,0.00,1.92,102.254,-47.591,22.655,-97.682,38.195,104.883,1,1,0,0,0,0,4.276,2.00,3376.72,0.00,0.050,4.572,-9.396,67.684,1,1
163.184,4.696,-9.441,67.600,0.000,-0.000,-0.000,1.365,-1.505,-1.124,10.48,-0.640952,0.258792,0.863010,0.024303,0.039635,0.006023,15755,533,-2063,-46,61,30,1,12.9867890,77.4790062,221.70,0.000,0.00,0.00,1.92,101.985,-50.726,33.599,-97.288,41.284,105.685,1,1,1,0,1,0,0.000,1.00,33.42,0.00,0.048,4.696,-9.441,67.600,1,1
164.184,5.060,-9.569,67.360,0.000,-0.000,-0.000,1.527,-1.693,-1.219,9.49,-0.655769,0.235928,0.864632,0.019342,0.031413,0.006770,15692,582,-2175,-19,-41,22,1,12.9867897,77.4790070,222.10,0.000,0.00,0.00,1.92,102.045,-50.671,33.879,-96.986,41.103,105.336,1,1,1,0,1,0,0.000,1.00,3168.14,0.00,0.040,5.060,-9.569,67.360,1,1
