time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
241.728,-0.000,0.000,-0.000,-0.005,0.002,-0.005,-6.000,2.400,-6.000,-0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1554,3586,-15864,-68,-1,-10,1,12.9752498,77.5485797,887.20,0.500,0.00,0.00,2.45,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,-0.000,0.000,-0.000,0,0
242.729,0.001,0.000,0.000,-0.004,0.001,-0.004,-0.282,0.124,-0.319,11.80,-6.655013,1.939069,-9.373054,-0.001285,0.001886,-0.000778,-1528,3747,-15875,-76,-57,-28,1,12.9752498,77.5485797,887.20,0.500,0.00,0.00,2.45,0.000,0.000,0.000,0.001,0.000,0.001,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.100,0.001,0.000,0.000,1,1
243.731,0.001,-0.000,0.001,-0.003,0.001,-0.004,-0.221,0.039,-0.273,11.52,-6.679483,1.997360,-9.408138,0.001579,0.001747,-0.001217,-1466,3611,-15852,-41,2,4,1,12.9752485,77.5485767,887.80,0.500,0.00,0.00,2.45,-0.357,-0.158,0.658,0.358,0.158,0.391,1,1,1,0,0,0,0.000,1.00,0.10,0.00,0.089,0.001,-0.000,0.001,1,1
244.731,0.001,-0.000,0.000,-0.003,0.000,-0.004,-0.204,0.050,-0.333,10.41,-6.670634,2.269371,-9.432255,0.002917,0.000771,0.001022,-1591,3623,-15814,-44,-36,5,1,12.9752465,77.5485788,886.70,0.500,0.00,0.00,2.45,-0.067,-0.392,-0.641,0.068,0.392,0.397,1,1,1,0,0,0,0.000,1.00,0.09,0.00,0.086,0.001,-0.000,0.000,1,1
245.732,0.001,-0.000,-0.001,-0.002,0.000,-0.003,-0.149,0.000,-0.198,9.94,-6.612844,2.602892,-9.437241,-0.000664,0.001354,0.000947,-1389,3536,-15813,-70,-21,3,1,12.9752435,77.5485825,883.70,0.500,0.00,0.00,2.45,0.361,-0.744,-3.933,-0.360,0.744,0.827,1,1,1,0,0,0,0.000,1.00,2.69,0.00,0.084,0.001,-0.000,-0.001,1,1
246.734,0.001,-0.001,-0.002,-0.002,0.000,-0.003,-0.213,0.009,-0.158,10.14,-6.560467,2.798149,-9.432823,-0.001386,0.003143,-0.001669,-1393,3573,-15950,-57,-18,-26,1,12.9752240,77.5485960,879.80,0.500,0.00,0.00,2.11,2.001,-3.198,-8.006,-1.999,3.197,3.771,1,1,1,0,0,0,0.000,1.00,17.58,0.00,0.084,0.001,-0.001,-0.002,1,1
247.735,0.001,-0.000,-0.001,-0.002,0.000,-0.003,-0.133,0.014,-0.241,10.12,-6.520500,2.912186,-9.427649,-0.000508,0.001487,0.003414,-1516,3561,-15801,-63,-96,20,1,12.9752232,77.5485975,878.60,0.500,0.00,0.00,2.11,1.945,-2.945,-8.730,-1.944,2.945,3.529,1,1,1,0,0,0,0.000,1.00,19.91,0.00,0.083,0.001,-0.000,-0.001,1,1
248.735,0.001,-0.000,-0.000,-0.002,0.000,-0.003,-0.148,0.044,-0.199,10.17,-6.483940,2.986744,-9.422194,0.000147,-0.000274,-0.000411,-1477,3623,-15850,-44,-34,7,1,12.9752217,77.5486002,878.20,0.500,0.00,0.00,2.11,2.238,-3.116,-9.025,-2.237,3.116,3.836,1,1,0,0,0,0,0.000,1.00,21.60,0.00,0.083,0.001,-0.000,-0.000,1,1
249.737,0.001,-0.000,0.000,-0.001,0.001,-0.003,-0.148,0.071,-0.243,10.15,-6.450895,3.028194,-9.416777,0.000123,-0.000735,-0.001265,-1566,3673,-15838,-80,-33,15,1,12.9752223,77.5486002,878.20,0.500,0.00,0.00,2.11,2.229,-3.052,-9.005,-2.228,3.052,3.779,1,1,0,0,0,0,2.584,2.00,21.42,0.00,0.082,0.001,-0.000,0.000,1,1
250.738,0.001,0.000,0.000,-0.001,0.000,-0.003,-0.170,0.053,-0.278,10.11,-6.425210,3.054514,-9.415140,0.004160,0.000544,-0.000136,-1653,3660,-15875,-11,-46,23,1,12.9752212,77.5486008,878.10,0.500,0.00,0.00,2.02,2.250,-3.089,-9.039,-2.249,3.089,3.821,1,1,0,0,0,0,3.586,2.00,23.60,0.00,0.082,0.001,0.000,0.000,1,1
251.739,0.001,0.000,0.000,-0.002,0.000,-0.002,-0.116,0.011,-0.148,10.06,-6.404454,3.074043,-9.416446,0.003160,0.003990,-0.000458,-1441,3573,-15877,-20,13,6,1,12.9752212,77.5486008,878.10,0.500,0.00,0.00,2.02,2.294,-3.174,-9.107,-2.293,3.174,3.916,1,1,0,0,0,0,4.587,2.00,24.08,0.00,0.082,0.001,0.000,0.000,1,1
252.740,0.001,0.000,0.000,-0.001,-0.000,-0.002,0.054,0.059,-0.252,10.02,-6.377625,3.086312,-9.415917,0.003083,0.000991,0.000436,-1539,3611,-15563,-75,-25,0,1,12.9752200,77.5486022,877.90,0.500,0.00,0.00,2.02,2.456,-3.310,-9.319,-2.455,3.310,4.121,1,1,1,0,1,0,0.000,1.00,0.25,0.00,0.082,0.001,0.000,0.000,1,1
253.741,0.001,0.000,0.000,-0.001,0.000,-0.002,-0.072,0.000,-0.145,9.97,-6.351811,3.095677,-9.415086,0.001340,0.003351,-0.000353,-1453,3548,-15838,-59,-27,4,1,12.9752197,77.5486023,877.80,0.500,0.00,0.00,2.02,2.453,-3.334,-9.413,-2.452,3.335,4.139,1,1,1,0,1,0,0.000,1.00,25.91,0.00,0.081,0.001,0.000,0.000,1,1
