time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
240.866,0.000,-0.000,0.000,0.000,-0.000,0.000,0.269,-0.533,0.181,0.01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15599,-741,4770,-93,-50,-100,1,12.9880000,77.4750000,876.60,0.500,0.00,0.00,2.44,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,0.000,-0.000,0.000,0,0
241.867,0.004,-0.002,-0.005,0.009,-0.003,-0.000,0.571,-0.265,-0.018,16.37,0.000005,-0.000003,0.000009,0.000000,0.000000,-0.000000,15125,-492,5182,67,-181,30,1,12.9880000,77.4750000,876.50,0.500,0.00,0.00,2.44,0.000,-0.000,-0.040,0.004,-0.002,0.005,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.001,0.005,-0.002,-0.000,0,0
242.867,0.163,-0.031,-0.096,0.491,-0.109,-0.063,0.790,-0.224,0.046,33.27,0.000296,-0.000102,0.000193,0.000009,0.000030,-0.000001,15162,-840,5546,-183,-81,103,1,12.9880000,77.4750000,876.50,0.500,0.00,0.00,2.44,0.000,-0.000,-0.110,0.163,-0.031,0.166,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.099,0.163,-0.031,-0.096,0,0
243.867,0.491,-0.063,-0.209,0.755,-0.240,-0.106,0.137,-0.228,-0.679,50.19,0.002588,-0.001250,-0.000025,0.000182,0.000545,-0.000036,14224,-20,4007,109,-255,-48,1,12.9880000,77.4750000,876.40,0.500,0.00,0.00,2.44,0.000,0.000,-0.214,0.491,-0.063,0.495,1,1,1,0,0,0,0.000,1.00,0.03,0.00,0.096,0.491,-0.063,-0.209,0,0
244.868,0.375,-0.419,-0.267,0.202,-1.206,-0.085,-0.386,-1.461,-0.168,67.22,0.005121,-0.003771,-0.001040,0.000949,0.001684,-0.000187,15650,-44,1653,-132,75,-38,1,12.9880000,77.4750000,876.40,0.500,0.00,0.00,2.44,0.000,0.000,-0.199,0.375,-0.419,0.562,1,1,1,0,0,0,0.000,1.00,0.04,0.00,0.094,0.375,-0.419,-0.267,0,0
245.868,0.191,-0.818,-0.389,0.186,-1.179,-0.097,-0.162,-0.180,0.012,84.75,0.004717,-0.005700,0.001086,0.002951,0.001866,-0.000559,15499,404,3468,-65,-28,-125,1,12.9880000,77.4750000,876.00,0.500,0.00,0.00,2.44,0.000,-0.000,-0.649,0.191,-0.818,0.840,1,1,1,0,0,0,0.000,1.00,0.12,0.00,0.092,0.191,-0.818,-0.389,0,0
246.869,0.240,-0.630,-0.611,0.397,-0.708,-0.127,0.551,-0.600,0.049,101.01,0.003010,-0.006173,0.006445,0.005621,0.001085,-0.001123,15887,-530,2017,-87,24,-18,1,12.9880000,77.4750000,875.80,0.500,0.00,0.00,2.44,0.000,-0.000,-0.785,0.240,-0.630,0.674,1,1,1,0,0,0,0.000,1.00,0.08,0.00,0.090,0.240,-0.630,-0.611,0,0
247.870,0.326,-0.354,-0.804,0.466,0.064,-0.156,0.624,0.767,0.228,117.29,0.001000,-0.005747,0.011448,0.008127,0.000210,-0.001718,16012,-977,3656,-120,-14,-18,1,12.9880000,77.4750000,875.50,0.000,0.00,0.00,2.44,0.000,-0.000,-0.926,0.326,-0.354,0.481,1,1,1,0,0,0,0.000,1.00,0.04,0.00,0.089,0.326,-0.354,-0.804,0,0
248.871,0.335,0.304,-1.127,0.385,1.051,-0.281,0.127,1.149,-0.278,133.13,-0.000347,-0.006449,0.017392,0.009574,0.000583,-0.002033,15112,-667,3956,-134,-46,36,1,12.9880000,77.4750000,875.50,0.000,0.00,0.00,2.44,0.000,0.000,-1.121,0.335,0.304,0.453,1,1,1,0,0,0,0.000,1.00,0.03,0.00,0.089,0.335,0.304,-1.127,0,0
249.873,0.250,0.978,-1.714,0.127,1.777,-0.465,-0.410,1.279,-0.384,149.89,-0.000657,-0.010597,0.029290,0.009769,0.003376,-0.001932,14814,-455,4644,-54,-166,66,1,12.9880000,77.4750000,874.80,0.000,0.00,0.00,2.44,0.000,0.000,-1.885,0.250,0.978,1.009,1,1,1,0,0,0,0.000,1.00,0.15,0.00,0.088,0.250,0.978,-1.714,0,0
250.875,-0.096,1.525,-2.258,-0.574,2.213,-0.596,-1.179,1.113,-0.064,167.63,-0.002857,-0.017939,0.033474,0.009020,0.008542,-0.001592,15050,-405,5947,-69,-43,-23,1,12.9880000,77.4750000,874.50,0.000,0.00,0.00,2.43,-0.000,-0.000,-2.139,-0.096,1.525,1.528,1,1,1,0,0,0,0.000,1.00,0.34,0.00,0.087,-0.096,1.525,-2.258,0,0
251.876,-0.676,1.771,-2.725,-1.071,2.089,-0.631,-0.063,0.584,-0.228,-174.97,-0.004527,-0.028101,0.033980,0.007043,0.014999,-0.001246,15175,-69,3631,-146,-28,-266,1,12.9880000,77.4750000,874.10,0.000,0.00,0.00,2.43,0.000,0.000,-2.562,-0.676,1.771,1.896,1,1,1,0,0,0,0.000,1.00,0.55,0.00,0.087,-0.676,1.771,-2.725,0,0
252.877,-0.722,1.704,-3.068,-0.554,1.765,-0.573,0.228,0.854,0.125,-156.65,-0.006019,-0.038835,0.033040,0.004940,0.021091,-0.000990,15913,-704,3305,18,41,-205,1,12.9880000,77.4750000,873.80,0.000,0.00,0.00,2.43,-0.000,0.000,-2.835,-0.722,1.704,1.850,1,1,1,0,0,0,0.000,1.00,0.55,0.00,0.086,-0.722,1.704,-3.068,0,0
253.877,-0.468,1.570,-3.312,-0.253,1.514,-0.542,-0.459,0.554,0.089,-139.23,-0.010311,-0.046905,0.030786,0.004354,0.025691,-0.000983,15664,-517,4082,163,98,-159,1,12.9880000,77.4750000,873.80,0.000,0.00,0.00,2.43,-0.000,0.000,-2.802,-0.468,1.570,1.638,1,1,1,0,0,0,0.000,1.00,0.47,0.00,0.083,-0.468,1.570,-3.312,0,0
