time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
178.590,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,-0.594,-0.815,-0.295,-0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15378,-203,1231,-213,-212,-32,1,12.9909235,77.4765167,877.70,0.500,0.00,0.00,2.92,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.001,-0.000,-0.000,-0.000,0,0
179.591,-0.000,0.000,0.000,-0.003,-0.001,-0.000,-0.290,0.214,-0.185,-29.58,-0.427456,-0.557675,-0.033484,-0.013618,0.006724,-0.008027,15365,345,493,-85,19,-20,1,12.9909235,77.4765167,877.70,0.500,0.00,0.00,2.92,0.000,0.000,0.000,-0.000,0.000,0.000,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.001,-0.000,0.000,0.000,1,1
180.591,-0.000,-0.001,0.000,0.000,-0.000,-0.001,0.188,0.069,-0.122,-31.12,-0.404011,-0.492183,-0.034477,-0.013757,0.006987,-0.002812,15440,195,1282,-77,112,82,1,12.9909100,77.4765133,878.30,0.500,0.00,0.00,2.92,-0.415,-1.679,0.675,0.415,1.678,1.729,1,1,1,0,0,0,0.000,1.00,0.40,0.00,0.099,-0.000,-0.001,0.000,1,1
181.592,-0.000,-0.002,0.000,0.004,0.005,-0.003,0.319,0.357,-0.170,-29.44,-0.179292,-0.449358,-0.050317,-0.003310,-0.002918,-0.017920,15365,245,1369,138,47,-133,1,12.9909008,77.4765045,878.10,0.500,0.00,0.00,2.92,-1.474,-2.665,0.364,1.474,2.663,3.043,1,1,1,0,0,0,0.000,1.00,1.10,0.00,0.097,-0.000,-0.002,0.000,1,1
182.593,-0.001,-0.003,0.000,0.005,0.005,-0.002,0.029,0.336,-0.192,-25.21,-0.083331,-0.396130,-0.057980,-0.009905,-0.010503,-0.005191,15378,-103,981,-159,44,-91,1,12.9908945,77.4764937,877.90,0.500,0.00,0.00,2.92,-2.673,-3.313,0.170,2.673,3.310,4.254,1,1,1,0,0,0,0.000,1.00,2.13,0.00,0.091,-0.001,-0.003,0.000,0,0
183.594,-0.002,-0.004,0.001,0.003,0.005,-0.000,0.416,0.506,-0.436,-23.67,-0.177033,-0.288955,-0.054218,-0.002817,0.011721,-0.028142,14889,581,1369,-20,-128,-225,1,12.9908857,77.4764852,878.70,0.500,0.00,0.00,2.92,-3.459,-4.226,1.036,3.457,4.222,5.457,1,1,1,0,0,0,0.000,1.00,3.62,0.00,0.090,-0.002,-0.004,0.001,1,1
184.594,-0.004,-0.005,0.001,-0.004,0.010,0.000,-0.188,0.633,-0.038,-22.97,-0.319424,-0.323713,-0.044556,-0.015419,0.004786,-0.059730,15665,196,469,191,105,-394,1,12.9908732,77.4764783,879.10,0.500,0.00,0.00,2.92,-4.114,-5.457,1.378,4.111,5.453,6.828,1,1,1,0,0,0,0.000,1.00,5.69,0.00,0.088,-0.004,-0.005,0.001,0,0
185.596,-0.009,-0.000,0.002,-0.007,0.037,0.003,0.144,0.251,0.050,-29.28,-0.979757,-1.161615,0.009720,-0.010746,-0.013046,-0.046893,15690,71,968,-286,-340,-156,1,12.9908607,77.4764703,879.70,0.500,0.00,0.00,2.92,-4.796,-6.575,1.831,4.786,6.575,8.133,1,1,1,0,0,0,0.000,1.00,8.15,0.00,0.087,-0.009,-0.000,0.002,0,0
186.596,-0.011,-0.003,0.003,0.004,0.001,0.001,0.405,0.267,-0.128,-30.19,-0.892545,-1.027980,0.004325,-0.015268,-0.005762,-0.036934,15327,358,1294,-277,-75,-141,1,12.9908607,77.4764703,879.70,0.500,0.00,0.00,2.92,-5.076,-7.013,2.029,5.065,7.010,8.649,1,1,1,0,0,0,0.000,1.00,9.25,0.00,0.085,-0.011,-0.003,0.003,1,1
187.597,-0.010,-0.003,0.003,0.005,0.002,-0.000,0.599,0.067,0.023,-30.56,-0.861345,-1.012828,0.003676,-0.008311,0.000831,-0.044260,15540,295,1806,194,81,-292,1,12.9908363,77.4764545,879.50,0.500,0.00,0.00,2.92,-6.914,-9.908,1.778,6.903,9.905,12.074,1,1,1,0,0,0,0.000,1.00,17.46,0.00,0.081,-0.010,-0.003,0.003,1,1
188.597,-0.010,-0.002,0.003,0.003,0.007,-0.000,0.207,0.552,-0.005,-30.60,-0.848524,-0.996633,0.003386,-0.011864,-0.006403,-0.045787,15553,655,868,279,12,-286,1,12.9908268,77.4764498,879.40,0.500,0.00,0.00,2.92,-7.311,-10.813,1.689,7.301,10.811,13.045,1,1,0,0,0,0,0.000,1.00,20.29,0.00,0.079,-0.010,-0.002,0.003,1,0
189.598,-0.010,-0.003,0.003,-0.032,0.050,0.005,-0.516,1.036,0.069,-29.65,-0.897541,-0.928902,0.009104,0.015624,0.007700,-0.020373,15853,792,-770,-65,-72,-62,1,12.9908208,77.4764430,879.60,0.500,0.00,0.00,2.92,-8.112,-11.463,1.933,8.102,11.461,14.035,1,1,0,0,0,0,2.784,2.00,23.54,0.00,0.076,-0.010,-0.002,0.003,1,1
190.598,-0.011,-0.001,0.003,0.006,0.003,0.000,0.356,0.318,-0.034,-28.97,-0.968433,-0.811572,0.016186,-0.013816,-0.024472,0.009298,15540,606,843,181,-68,-17,1,12.9908110,77.4764357,880.00,0.500,0.00,0.00,2.92,-8.909,-12.613,2.361,8.898,12.612,15.435,1,1,0,0,0,0,3.785,2.00,28.59,0.00,0.074,-0.011,-0.001,0.003,1,1
191.599,-0.010,-0.002,0.003,0.007,-0.000,0.001,0.603,0.028,0.072,-29.20,-0.947566,-0.819227,0.018326,-0.018752,-0.007304,0.009846,15679,444,1518,180,58,-35,1,12.9908013,77.4764272,880.20,0.500,0.00,0.00,2.92,-9.752,-13.569,2.509,9.742,13.567,16.703,1,1,0,0,0,0,4.785,2.00,33.45,0.00,0.072,-0.010,-0.002,0.003,1,1
192.600,-0.010,-0.002,0.003,0.010,-0.000,-0.000,0.701,-0.022,-0.234,-29.33,-0.925957,-0.822583,0.019910,-0.006896,-0.011080,0.008967,15153,345,1718,166,-22,-42,1,12.9907968,77.4764245,880.00,0.500,0.00,0.00,2.92,-9.993,-13.992,2.321,9.983,13.990,17.187,1,1,1,0,1,0,0.000,1.00,0.35,0.00,0.069,-0.010,-0.002,0.003,1,1
193.600,-0.010,-0.002,0.003,0.000,0.005,-0.000,-0.001,0.296,0.055,-29.23,-0.922609,-0.820715,0.022201,-0.017538,-0.006907,0.012681,15790,382,356,-182,48,-4,1,12.9907907,77.4764262,880.40,0.500,0.00,0.00,2.92,-9.937,-14.302,2.453,9.927,14.300,17.408,1,1,0,0,0,0,0.000,1.00,36.24,0.00,0.066,-0.010,-0.002,0.003,1,1
194.601,-0.010,-0.001,0.003,0.008,-0.001,0.001,0.728,-0.077,0.072,-29.14,-0.923173,-0.815616,0.024508,-0.016893,-0.008200,0.007550,15654,544,1742,218,-97,-81,1,12.9907907,77.4764262,880.40,0.500,0.00,0.00,2.92,-9.805,-14.741,2.730,9.795,14.740,17.698,1,1,0,0,0,0,2.069,2.00,37.60,0.00,0.064,-0.010,-0.001,0.003,1,1
195.601,-0.010,-0.002,0.003,0.005,0.001,0.000,0.480,0.232,-0.079,-29.07,-0.910177,-0.816212,0.025122,-0.002607,0.003883,0.008319,15466,531,1180,-288,54,52,1,12.9907850,77.4764298,879.50,0.500,0.00,0.00,2.92,-9.381,-15.399,1.686,9.372,15.398,18.025,1,1,0,0,0,0,3.069,2.00,38.44,0.00,0.060,-0.010,-0.002,0.003,1,0
196.602,-0.010,-0.002,0.003,0.004,0.002,-0.001,0.313,0.173,0.017,-29.00,-0.903367,-0.811429,0.026637,-0.030818,-0.012942,0.013707,15679,320,1042,-235,-34,30,1,12.9907792,77.4764327,879.50,0.500,0.00,0.00,2.92,-9.071,-16.056,1.806,9.061,16.055,18.435,1,1,0,0,0,0,4.071,2.00,40.24,0.00,0.058,-0.010,-0.002,0.003,1,1
197.603,-0.010,-0.001,0.003,0.005,0.001,0.002,0.272,0.068,0.320,-28.93,-0.903752,-0.801775,0.029137,-0.024194,-0.020784,0.013560,16202,245,1143,-69,-22,40,1,12.9907750,77.4764355,879.50,0.500,0.00,0.00,2.92,-8.765,-16.499,1.800,8.755,16.498,18.677,1,1,1,0,1,0,0.000,1.00,0.41,0.00,0.056,-0.010,-0.001,0.003,1,1
198.604,-0.010,-0.001,0.003,0.005,0.000,0.000,0.285,-0.006,0.231,-28.98,-0.894763,-0.795569,0.030082,-0.001216,-0.003460,0.005152,16067,21,1306,-265,-87,-3,1,12.9907692,77.4764352,879.90,0.500,0.00,0.00,2.92,-8.847,-17.151,2.249,8.837,17.150,19.293,1,1,1,0,1,0,0.000,1.00,44.24,0.00,0.055,-0.010,-0.001,0.003,1,1
199.605,-0.010,-0.001,0.003,0.007,0.003,0.001,0.695,0.126,-0.059,-28.93,-0.886060,-0.790080,0.031242,-0.000971,0.002887,0.011473,15478,370,1768,29,111,68,1,12.9907628,77.4764345,880.50,0.500,0.00,0.00,2.92,-8.913,-17.721,2.749,8.903,17.720,19.831,1,1,0,0,0,0,0.000,1.00,47.00,0.00,0.053,-0.010,-0.001,0.003,1,1
