lat,lon,source
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009709039122,77.4749907,EKF
12.996009718077943,77.4749907,EKF
12.996009718077943,77.4749907,EKF
12.996009718077943,77.47499069078256,EKF
12.996009718077943,77.47499069078256,EKF
12.996009718077943,77.47499069078256,EKF
12.996009718077943,77.4749906815651,EKF
12.996009709039122,77.47499067234764,EKF
12.996009700000299,77.4749906631302,EKF
12.996009690961479,77.47499067234764,EKF
12.996009700000299,77.47499069078256,EKF
12.996009700000299,77.47499069078256,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009727116768,77.47499075530473,EKF
12.99600970903912,77.47499071843491,EKF
12.9960097000003,77.47499070921747,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009736155589,77.47499076452218,EKF
12.99600970903912,77.47499071843491,EKF
12.9960097000003,77.47499070921747,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009700000299,77.4749907,EKF
12.996009745194408,77.47499077373963,EKF
12.996009718077943,77.47499072765237,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996009709039122,77.47499070921747,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542354,77.47499268175231,EKF
12.996010757542358,77.47499268175231,EKF
12.996010757542358,77.47499268175231,EKF
12.99601075754236,77.47499269096976,EKF
12.99601075754236,77.47499269096976,EKF
12.99601075754236,77.47499269096976,EKF
12.99601075754236,77.47499269096976,EKF
12.99601075754236,77.47499269096976,EKF
12.997774203605125,77.47834750488552,EKF
12.997774086065249,77.47834766147896,EKF
12.997773995652635,77.47834783653215,EKF
12.997773932360133,77.47834793786386,EKF
12.997773887138063,77.47834797466841,EKF
12.997773878061642,77.47834796537859,EKF
12.997773941297531,77.47834793767402,EKF
12.997773986458132,77.4783479191868,EKF
12.997774067773916,77.47834789149037,EKF
12.997774167165462,77.47834788222781,EKF
12.9977742936717,77.47834787296772,EKF
12.997774456329413,77.47834794665911,EKF
12.997774609946925,77.47834815859753,EKF
12.997774700300722,77.47834839818789,EKF
12.997774736428624,77.47834858247928,EKF
12.997774754481755,77.47834875755547,EKF
12.99777477253429,77.47834891419699,EKF
12.997774953267081,77.47834927360731,EKF
12.99777481767627,77.47834949476466,EKF
12.997774654969218,77.47834970669983,EKF
12.997774365732333,77.478349946284,EKF
12.997774392821261,77.47835025960792,EKF
12.997774465121674,77.47835027803777,EKF
12.99777445608258,77.4783502872521,EKF
12.997774447043486,77.4783502964664,EKF
12.997774438003997,77.47835031489673,EKF
12.997774438003882,77.47835032411328,EKF
12.99777443800392,77.4783503425469,EKF
12.997774438003521,77.47835035176291,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.99777443800368,77.47835036098,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.99777443800368,77.47835036098,EKF
12.99777443800368,77.47835036098,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.99777443800368,77.47835036098,EKF
12.99777443800368,77.47835036098,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.997774438003402,77.47835036097946,EKF
12.99777443800368,77.47835036098,EKF
12.997774456082224,77.47835031490172,EKF
12.997774456082503,77.47835031490224,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.9977744560829,77.47835030568623,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121436,77.47835029647086,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774465121156,77.47835029647034,EKF
12.997774501272476,77.47835030568737,EKF
12.997778586394999,77.47834690477305,EKF
12.997788211441323,77.47835118096843,EKF
12.997789350075823,77.47836095972004,EKF
12.99778681014004,77.47838997351877,EKF
12.997750107162569,77.47841109742265,EKF
12.997746130107698,77.47840434991008,EKF
12.997742442755905,77.47840649755236,EKF
12.997751688887934,77.47839314335465,EKF
12.997776805490004,77.47836884903383,EKF
12.997790479274478,77.47837976093844,EKF
12.99778409796117,77.47839397199674,EKF
12.997786673984375,77.47838832259778,EKF
12.997786601679923,77.4783884239782,EKF
12.997786583604212,77.47838842397795,EKF
12.997786592641827,77.47838844241116,EKF
12.997786628793492,77.47838842397857,EKF
12.997786628793492,77.47838842397857,EKF
12.9977866107173,77.4783883963271,EKF
12.997786583602974,77.47838836867498,EKF
12.997786583602974,77.47838836867498,EKF
12.997786583602974,77.47838836867498,EKF
12.997786574564318,77.4783883225895,EKF
12.997786574563879,77.4783883133719,EKF
12.997786574563039,77.47838831337029,EKF
12.99778657456176,77.47838830415108,EKF
12.99778657456092,77.47838830414949,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.99778657456092,77.47838830414949,EKF
12.99778657456092,77.47838830414949,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.997786583600092,77.47838833180242,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786583600815,77.47838834102056,EKF
12.997786574561358,77.47838831336709,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574560795,77.47838831336603,EKF
12.997786592638548,77.47838835023722,EKF
12.99778659263871,77.47838835945431,EKF
12.997786592638988,77.47838835945484,EKF
12.997786592638988,77.47838835945484,EKF
12.997786574562477,77.47838831336922,EKF
12.997786574560795,77.47838831336603,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561358,77.47838831336709,EKF
12.997786583600533,77.47838834102004,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786574561077,77.47838831336655,EKF
12.997786520333827,77.47838825806498,EKF
12.997786511295574,77.47838820276348,EKF
12.997786520332586,77.478388202762,EKF
12.997786520331463,77.47838820275987,EKF
12.997786520330626,77.47838820275828,EKF
12.997786520329502,77.47838820275615,EKF
12.997786520328663,77.47838820275454,EKF
12.997786520328942,77.47838820275508,EKF
12.997786520328663,77.47838820275454,EKF
12.997786520328663,77.47838820275454,EKF
12.99778652032838,77.47838820275402,EKF
12.997786520328663,77.47838820275454,EKF
12.997786520328663,77.47838820275454,EKF
12.997786520328663,77.47838820275454,EKF
12.997786520328663,77.47838820275454,EKF
12.997786538406292,77.4783882488423,EKF
12.997786538406574,77.47838824884282,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786538406855,77.47838824884336,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786529368998,77.47838824884325,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786520331143,77.47838824884312,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
12.997786511293288,77.47838824884299,EKF
