time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
99.414,-0.000,-0.000,0.000,-0.001,-0.000,0.000,-1.833,-0.185,0.054,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16094,750,-647,-181,-261,113,1,12.9820057,77.5319947,363.50,0.000,0.00,0.00,1.81,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,-0.000,-0.000,0.000,0,0
100.416,0.004,0.001,-0.001,-0.001,0.000,0.001,0.301,0.365,-0.218,-8.74,-0.494360,-0.134703,0.001110,-0.026530,-0.005812,-0.012795,15320,1185,605,-390,74,12,1,12.9820057,77.5319947,363.50,0.000,0.00,0.00,1.81,0.000,0.000,0.000,0.004,0.001,0.004,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.001,0.004,0.001,-0.001,1,0
101.417,0.009,0.002,0.001,0.010,-0.004,-0.004,0.662,-0.177,-0.385,-8.03,-0.324854,-0.167494,-0.005033,-0.023725,0.008872,-0.035925,14933,949,2295,367,-117,-158,1,12.9811853,77.5351610,913.70,0.000,0.00,0.00,1.75,343.570,-90.772,550.190,-343.562,90.774,355.352,1,1,1,0,0,0,0.000,1.00,139692.75,0.00,0.000,0.009,0.002,0.001,0,0
102.417,0.045,-0.033,-0.005,0.185,-0.202,-0.011,0.948,0.355,-0.766,-17.23,-0.344147,-0.063469,-0.008574,0.000749,0.010597,-0.048063,14245,1632,2082,64,-49,-1464,1,12.9811992,77.5351112,913.00,0.000,0.00,0.00,1.92,337.328,-88.996,549.382,-337.284,88.962,348.819,1,1,0,0,0,0,0.000,1.00,114616.67,0.00,0.099,0.045,-0.033,-0.005,0,0
103.418,0.499,-0.632,-0.047,0.541,-0.957,-0.054,-0.347,0.231,-1.089,-43.60,-0.344147,-0.063469,-0.008574,0.000749,0.010597,-0.048063,13845,837,1255,-621,-725,-1759,1,12.9812105,77.5350922,916.40,0.000,0.00,0.00,1.98,335.853,-87.832,553.303,-335.354,87.200,346.506,1,1,0,0,0,0,2.902,2.00,108483.95,0.00,0.098,0.499,-0.632,-0.047,0,0
104.419,0.917,-1.478,-0.090,0.354,-0.417,-0.089,0.173,1.694,2.293,-60.51,-0.344147,-0.063469,-0.008574,0.000749,0.010597,-0.048063,19836,576,643,204,-615,-482,1,12.9812222,77.5350433,911.80,0.000,0.00,0.00,1.98,331.267,-86.798,548.730,-330.350,85.321,341.190,1,1,0,0,0,0,3.904,2.00,106139.74,0.00,0.096,0.917,-1.478,-0.090,0,0
105.421,0.735,-1.431,0.167,0.073,0.761,-0.015,0.857,1.033,-0.600,-57.36,-0.875194,0.007589,0.022304,0.032303,0.018004,-0.063655,14260,2680,2207,-254,-87,603,1,12.9812423,77.5349958,909.60,0.000,0.00,0.00,1.98,328.574,-85.761,547.262,-327.839,84.330,338.511,1,1,0,0,0,0,4.905,2.00,105293.66,0.00,0.092,0.735,-1.431,0.167,0,0
106.422,1.072,-0.258,0.182,0.694,1.561,0.018,1.598,0.151,-1.239,-44.68,-0.875194,0.007589,0.022304,0.032303,0.018004,-0.063655,12818,1645,4259,550,95,517,1,12.9812423,77.5349958,909.60,0.000,0.00,0.00,1.98,325.287,-84.308,545.947,-324.215,84.050,334.933,1,1,0,0,1,0,5.906,2.00,1045.92,0.00,0.091,1.072,-0.258,0.182,0,0
107.423,2.425,1.692,0.200,2.133,2.420,0.010,0.976,0.611,-0.265,-29.18,-0.875194,0.007589,0.022304,0.032303,0.018004,-0.063655,14797,826,3621,-344,45,1112,1,12.9812948,77.5349208,908.70,0.000,0.00,0.00,1.98,317.506,-78.657,545.192,-315.081,80.348,325.164,1,1,0,0,1,0,6.908,2.00,1027.49,0.00,0.091,2.425,1.692,0.200,0,0
108.424,5.071,4.890,0.179,2.971,4.194,-0.090,0.599,3.120,-1.546,-9.96,-0.875194,0.007589,0.022304,0.032303,0.018004,-0.063655,13267,3401,2094,59,170,926,1,12.9813162,77.5348903,907.20,0.000,0.00,0.00,1.92,313.667,-75.910,543.452,-308.596,80.800,318.999,1,1,0,0,1,0,7.908,2.00,1076.88,0.00,0.090,5.071,4.890,0.179,0,0
109.425,8.202,10.346,-0.034,3.386,6.797,-0.377,1.552,3.177,-0.036,5.98,-0.875194,0.007589,0.022304,0.032303,0.018004,-0.063655,15471,2355,4986,-67,-245,889,1,12.9813373,77.5348577,906.00,0.000,0.00,0.00,1.92,310.123,-73.601,542.312,-301.921,83.947,313.374,1,1,0,0,1,0,8.909,2.00,1064.31,0.00,0.090,8.202,10.346,-0.034,0,0
110.425,1.296,-1.477,-1.753,0.019,0.045,0.038,1.037,1.476,-0.003,9.87,-0.044850,0.263787,0.108960,0.023410,0.022448,-0.025990,15195,1683,5849,-162,552,56,1,12.9813548,77.5348170,905.10,0.000,0.00,0.00,1.99,306.045,-71.931,541.552,-304.749,70.455,312.787,1,1,0,0,1,0,9.910,2.00,981.06,0.00,0.089,1.296,-1.477,-1.753,0,0
111.426,1.419,-0.342,-2.050,0.003,0.009,0.005,0.229,0.258,0.625,12.77,-0.076303,0.238181,0.127843,-0.008374,0.010962,-0.017317,16523,40,4848,-302,-707,-16,1,12.9813748,77.5347748,904.40,0.000,0.00,0.00,1.99,302.963,-70.437,541.088,-301.544,70.095,309.584,1,1,0,0,1,0,10.910,3.00,986.91,0.00,0.088,1.419,-0.342,-2.050,0,0
