lat,lon
12.9849307,77.5500627
12.9849552,77.5500675
12.9849552,77.5500675
12.9847715,77.5500315
12.984798,77.5500372
12.984841,77.5500392
12.9848887,77.5500308
12.9849402,77.5500302
12.9849968,77.5500272
12.9850578,77.550027
12.9850578,77.550027
12.9840752,77.5492043
12.9840598,77.549127
12.9841173,77.5490938
12.9841785,77.549088
12.9853038,77.5494682
12.985366,77.5494707
12.985426,77.5494642
12.985476,77.5494488
12.985476,77.5494488
12.9855225,77.549447
12.9855563,77.54945
12.9855853,77.5494407
12.9856022,77.5493882
12.9856022,77.5493882
12.9850867,77.5489718
12.9850867,77.5489718
12.9850732,77.5489085
12.9850448,77.5488355
12.9850227,77.5487695
12.9849935,77.5487125
12.984955,77.5486112
12.9849408,77.5485593
12.9849215,77.5485082
12.9849215,77.5485082
12.9848868,77.5484283
12.9848495,77.5483833
12.9848305,77.5483397
12.984798,77.5483495
12.9847958,77.5483042
12.9847923,77.5482527
12.9847923,77.5482527
12.9847283,77.5480977
12.9847355,77.548047
12.9847355,77.548047
12.9847,77.5477683
12.9847,77.5477683
12.9851235,77.5476828
12.9851235,77.5476828
12.9849665,77.5474975
12.9849665,77.5474975
12.9849727,77.5474512
12.9849743,77.5473975
12.9849772,77.547343
12.9849862,77.5472247
12.9849908,77.547164
12.9849965,77.5471037
12.9849965,77.5471037
12.9850047,77.5470362
12.9849977,77.546953
12.9850057,77.5468813
12.9850295,77.546721
12.9850402,77.5466582
12.9850467,77.5465943
12.9850505,77.5465263
12.9850505,77.5465263
12.9850497,77.5464623
12.9850435,77.5464022
12.9850533,77.54635
12.9850755,77.546244
12.9850847,77.5461928
12.9850908,77.5461352
12.9850908,77.5461352
12.9850948,77.5460877
12.9850933,77.5460425
12.9850915,77.5459948
12.9851123,77.5458695
12.9851238,77.5458003
12.9851238,77.5458003
12.985131,77.5457243
12.9851383,77.5456495
12.9851432,77.5455812
12.9851532,77.5454575
12.9851565,77.5453908
12.98516,77.545329
12.98516,77.545329
12.9851605,77.545281
12.9851563,77.5452403
12.985161,77.5452118
12.9851663,77.5451613
12.9851703,77.5451388
12.9851718,77.5451177
12.9851718,77.5451177
12.9851728,77.5450982
12.9851718,77.5450847
12.9851753,77.5450667
12.9851752,77.545034
12.9851755,77.5450205
12.9851728,77.5449973
12.9851728,77.5449973
12.9851713,77.5449695
12.9851738,77.5449368
12.985178,77.5448948
12.9851975,77.544784
12.9852065,77.5447155
12.9852157,77.5446477
12.9852157,77.5446477
12.9852208,77.5445875
12.9852225,77.5445335
12.985226,77.544481
12.9852358,77.5443648
12.9852432,77.5442998
12.9852533,77.5442307
12.9852658,77.5441613
12.9852658,77.5441613
12.9852772,77.5440917
12.9852887,77.5440213
12.985314,77.5438787
12.985329,77.5438047
12.9853435,77.5437303
12.9853587,77.543654
12.9853587,77.543654
12.9853737,77.5435782
12.9853878,77.5435028
12.9854242,77.5433552
12.9854468,77.5432873
12.9854707,77.5432215
12.9854915,77.5431623
12.9854915,77.5431623
12.9855055,77.5431078
12.9855185,77.5430597
