time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
41.813,0.000,0.000,-0.000,0.003,0.000,-0.000,2.728,0.335,-0.282,-0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14998,898,5191,-85,-214,-155,1,12.9849307,77.5500627,201.40,0.500,0.00,0.00,2.63,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.001,0.000,0.000,-0.000,0,0
42.813,-0.000,0.000,0.000,0.005,-0.000,0.003,0.295,-0.071,0.284,2.70,0.961634,0.197928,-0.005805,0.020684,0.000867,-0.021342,15899,935,3701,-175,165,-51,1,12.9849552,77.5500675,202.30,0.000,0.00,0.00,2.53,0.208,1.084,0.360,-0.208,-1.084,1.104,1,1,1,0,0,0,0.000,1.00,0.00,0.00,0.000,-0.000,0.000,0.000,0,0
43.814,0.000,-0.000,0.001,0.001,0.001,0.001,0.480,0.145,0.257,4.12,0.920239,0.039214,-0.001838,-0.011856,0.012440,0.001684,15786,1047,4227,-251,188,-48,1,12.9849552,77.5500675,202.30,0.000,0.00,0.00,2.53,0.559,2.908,0.966,-0.558,-2.908,2.961,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.001,0.000,-0.000,0.001,1,0
44.815,0.003,-0.000,0.001,-0.003,-0.001,0.002,-0.422,0.005,-0.015,4.84,0.842646,0.198222,0.000975,-0.008371,-0.000504,0.022156,15437,1035,3062,232,-571,74,1,12.9847715,77.5500315,206.70,0.000,0.00,0.00,2.53,-3.385,-17.613,5.300,3.388,17.613,17.936,1,1,0,0,0,0,2.502,2.00,0.00,0.00,0.000,0.003,-0.000,0.001,0,0
45.816,0.003,0.001,0.003,0.003,0.002,-0.001,0.122,-0.017,-0.156,3.62,0.791135,-0.091367,0.012765,0.000867,-0.035950,0.017510,15086,948,4027,139,-45,22,1,12.9847980,77.5500372,212.20,0.000,0.00,0.00,3.25,-2.676,-14.250,11.609,2.678,14.251,14.500,1,1,0,0,0,0,3.503,2.00,0.00,0.00,0.100,0.003,0.001,0.003,1,1
46.817,0.004,0.000,0.005,-0.003,0.010,0.003,0.181,0.672,0.375,3.62,0.758079,-0.122272,0.014246,0.015478,0.001447,0.003153,15899,1296,4540,-1155,-371,94,1,12.9848410,77.5500392,211.90,0.000,0.00,0.00,3.25,-2.520,-9.204,10.420,2.524,9.204,9.544,1,1,0,0,0,0,4.505,2.00,0.00,0.00,0.099,0.004,0.000,0.005,0,0
47.817,0.002,0.005,0.005,-0.104,0.131,0.008,-0.574,1.328,0.484,2.60,0.724614,-0.215246,0.021986,-0.000641,0.009341,-0.002793,16462,823,3137,-666,-190,-132,1,12.9848887,77.5500308,217.40,0.000,0.00,0.00,3.25,-3.571,-4.007,16.665,3.574,4.012,5.373,1,1,0,0,0,0,5.505,2.00,0.00,0.00,0.096,0.002,0.005,0.005,0,0
48.818,-0.013,-0.027,0.017,-0.116,0.248,0.005,0.023,0.658,0.154,-3.19,0.106626,-1.417397,0.151762,-0.021731,-0.001437,-0.027811,15599,587,3764,-30,-187,-182,1,12.9849402,77.5500302,219.40,0.000,0.00,0.00,3.25,-3.536,1.341,18.130,3.522,-1.367,3.778,1,1,0,0,0,0,6.506,2.00,0.00,0.00,0.095,-0.013,-0.027,0.017,0,0
49.820,-0.136,0.272,0.047,-0.189,0.391,0.046,0.057,-0.014,0.212,-8.43,0.058681,-1.455906,0.159302,-0.025093,-0.000263,-0.029966,15799,-559,4290,289,17,-713,1,12.9849968,77.5500272,220.20,0.000,0.00,0.00,3.25,-3.822,6.841,18.754,3.686,-6.568,7.532,1,1,0,0,0,0,7.507,2.00,0.00,0.00,0.094,-0.136,0.272,0.047,0,0
50.821,-0.056,0.062,0.013,-0.006,0.003,0.003,-1.146,-0.350,0.327,-12.18,-0.874273,-0.466402,0.215450,0.013823,-0.038945,-0.057074,16612,-397,2261,180,85,-430,1,12.9850578,77.5500270,219.10,0.000,0.00,0.00,3.25,-3.871,10.198,18.381,3.814,-10.136,10.830,1,1,0,0,0,0,8.508,2.00,0.00,0.00,0.094,-0.056,0.062,0.013,0,0
