lat,lon
12.9960097,77.4749907
12.9960233,77.4749908
12.9960233,77.4749908
12.9960332,77.4749883
12.9960365,77.4749858
12.9960333,77.4749788
12.9960317,77.4749743
12.996025,77.474965
12.9960128,77.4749527
12.9960128,77.4749527
12.9959935,77.4749403
12.9959685,77.474918
12.995939,77.4749243
12.995925,77.4749247
12.995909,77.4749302
12.9959028,77.4749265
12.995896,77.474919
12.995896,77.474919
12.9958827,77.4749167
12.9973028,77.4772672
12.9978283,77.478228
12.9978378,77.4782353
12.9978418,77.478239
12.9978403,77.4782383
12.9978432,77.478241
12.9978432,77.478241
12.9978478,77.4782452
12.99785,77.4782483
12.9978513,77.4782527
12.9978537,77.4782632
12.9978542,77.4782678
12.997853,77.4782727
12.997853,77.4782727
12.9978538,77.4782785
12.9978528,77.4782832
12.9978517,77.4782867
12.9978507,77.4782905
12.99785,77.4782978
12.9978495,77.4783007
12.9978487,77.4783027
12.9978487,77.4783027
12.997848,77.4783035
12.9978472,77.4783045
12.997847,77.4783058
12.9978453,77.4783078
12.9978433,77.478309
12.9978415,77.4783103
12.9978415,77.4783103
12.9978398,77.4783115
12.9978383,77.4783118
12.9978365,77.4783125
12.9978347,77.4783127
12.9978313,77.4783137
12.9978302,77.4783147
12.997829,77.4783153
12.997829,77.4783153
12.9978237,77.4783172
12.9978227,77.4783172
12.9978217,77.4783183
12.9978208,77.478319
12.9978183,77.478319
12.9978148,77.4783227
12.9978107,77.4783268
12.9978107,77.4783268
12.9978023,77.4783387
12.9978012,77.4783412
12.9977993,77.4783432
12.997796,77.4783443
12.9977947,77.4783448
12.9977935,77.4783453
12.997792,77.4783462
12.997792,77.4783462
12.9977908,77.4783467
12.99779,77.4783467
12.9977888,77.4783468
12.9977872,77.4783468
12.9977865,77.4783463
12.9977855,77.478346
12.9977855,77.478346
12.9977847,77.4783463
12.9977837,77.4783475
12.9977823,77.4783482
12.9977805,77.4783475
12.9977797,77.4783468
12.9977788,77.4783463
12.9977788,77.4783463
12.997778,77.4783458
12.9977772,77.4783455
12.9977765,77.4783455
12.997775,77.4783475
12.9977747,77.4783473
12.9977742,77.4783475
12.9977742,77.4783475
12.997774,77.4783478
12.9977738,77.4783482
12.9977737,77.4783482
12.9977737,77.478348
12.9977742,77.4783478
12.9977743,77.4783478
12.9977743,77.4783478
12.9977747,77.4783477
12.997775,77.4783477
12.9977752,77.4783477
12.9977748,77.478349
12.997774,77.4783502
12.9977738,77.4783505
12.9977738,77.4783505
12.9977738,77.4783507
12.9977738,77.478351
12.9977735,77.4783518
12.9977727,77.4783528
12.9977718,77.4783535
12.9977713,77.4783533
12.9977708,77.4783535
12.9977708,77.4783535
12.9977705,77.4783537
12.9977698,77.4783545
12.997769,77.4783553
12.9977685,77.4783557
12.9977682,77.4783558
12.9977682,77.4783558
12.9977678,77.478356
12.997768,77.478356
12.9977682,77.4783558
12.9977678,77.4783563
12.997767,77.4783573
12.997767,77.4783573
12.9977667,77.4783582
12.9977667,77.4783582
12.9977665,77.4783585
12.997766,77.478359
12.997766,77.4783593
12.9977652,77.478359
12.9977645,77.478359
12.9977643,77.478359
12.9977643,77.478359
12.9977642,77.4783588
12.9977645,77.4783588
12.9977648,77.4783588
12.9977653,77.4783587
12.9977653,77.478359
12.997765,77.4783595
12.997765,77.4783595
12.9977653,77.4783597
12.9977658,77.4783597
12.9977657,77.4783603
12.9977648,77.4783617
12.9977648,77.4783623
12.9977647,77.4783627
12.9977647,77.4783627
12.9977647,77.4783623
12.9977642,77.4783633
12.9977637,77.4783643
12.9977632,77.4783647
12.997763,77.4783647
12.997763,77.4783647
12.9977625,77.478365
12.9977622,77.4783647
12.9977627,77.4783645
12.9977622,77.4783643
12.9977618,77.4783643
12.9977617,77.4783637
12.9977617,77.4783637
12.9977615,77.4783637
12.997761,77.4783638
12.9977602,77.4783643
12.9977593,77.4783648
12.9977593,77.4783648
12.9977593,77.4783648
12.9977593,77.4783648
12.9977592,77.4783645
12.9977583,77.4783648
12.9977583,77.478365
12.9977583,77.478365
12.9977583,77.4783655
12.9977585,77.4783655
12.9977588,77.4783652
12.9977588,77.4783652
12.997759,77.478365
12.997759,77.478365
12.9977592,77.478365
12.9977598,77.4783648
12.9977603,77.4783645
12.9977607,77.4783642
12.997761,77.4783638
12.997761,77.4783638
12.9977615,77.4783633
12.9977623,77.4783628
12.9977637,77.4783615
12.9977645,77.4783607
12.9977652,77.4783605
12.997766,77.4783597
12.997766,77.4783597
12.9977665,77.4783593
12.9977668,77.4783595
12.9977672,77.4783602
12.9977675,77.4783602
12.9977675,77.4783603
12.9977675,77.4783603
12.9977675,77.4783605
12.9977673,77.4783607
12.997767,77.4783607
12.9977668,77.478361
12.9977667,77.4783617
12.9977667,77.4783617
12.9977663,77.478362
12.9977663,77.4783622
12.9977662,77.4783622
12.9977662,77.4783618
12.9977663,77.4783618
12.9977663,77.4783618
12.9977665,77.4783617
12.9977668,77.4783613
12.9977672,77.4783612
